Booth Number	Latitude	Longitude	Search	Settlement Number	Source
41	32.6751604	35.2360526	רמת יזרעאל 5 מגדל העמק	874	Quant
42	32.679495	35.2409501	קריית חינוך 6 מגדל העמק	874	Quant
43	32.6797138	35.2406661	קריית חינוך 7 מגדל העמק	874	Quant
990	32.6853547	35.2335218	הניצנים 4, מגדל העמק	874	Google
44	32.6828344	35.24097800000001	נחל הצבי 43 מגדל העמק	874	Quant
1	32.3785625	34.8672611	בית חירות	877	Quant
1	32.2745649	34.9345136	זמיר 12 עין שריד	880	Quant
2	32.2745649	34.9345136	זמיר 12 עין שריד	880	Quant
1	32.034813	34.84148	רמת פנקס 24, רמת פנקס	883	Google
1	30.873611	34.793098	שדה בוקר	885	Quant
1	31.7400721	34.8012578	"האלון כפר הרי""ף"	888	Quant
1	32.750515	35.08828099999999	כפר חסידים ב'	889	Quant
1	32.750515	35.08828099999999	כפר חסידים ב' כפר חסידים ב', כפר הנוער הדתי	890	Google
1	33.048792	35.179128	עבדון	892	Quant
1	32.684167	35.396944	שבלי - אום אל-גנם	913	Quant
2	32.684167	35.396944	שבלי - אום אל-גנם	913	Quant
3	32.684167	35.396944	שבלי - אום אל-גנם	913	Quant
6	32.684167	35.396944	אום אל-גנם שבלי - אום אל-גנם	913	Quant
4	32.684167	35.396944	שבלי - אום אל-גנם	913	Quant
7	32.684167	35.396944	אום אל-גנם, שבלי - אום אל-גנם	913	Google
5	32.684167	35.396944	אום אל-גנם שבלי - אום אל-גנם	913	Quant
1	31.247595	34.403091	ישע	916	Quant
1	32.865802	35.252335	עצמון שגב	917	Quant
2	32.865802	35.252335	עצמון שגב	917	Quant
1	31.6724873	34.9426383	גבעת ישעיהו	919	Quant
1	32.4438777	35.0109759	שער מנשה	921	Quant
1	32.75416	35.102898	בני תורה רכסים	922	Quant
2	32.7496473	35.1001741	האורנים 4 רכסים	922	Quant
3	32.7485035	35.1007816	הרב קוק 4 רכסים	922	Quant
4	32.7514066	35.1071473	הרקפות 1 רכסים	922	Quant
5	32.7502887	35.1062898	חצב 2 רכסים	922	Quant
6	32.7548814	35.0989468	חרצית 1 רכסים	922	Quant
7	32.7558831	35.0962669	סמ הורדים 6 רכסים	922	Quant
8	32.7542753	35.104871	דקל 35 רכסים	922	Quant
9	32.7542753	35.104871	דקל 35 רכסים	922	Quant
10	32.7518596	35.0973323	האלונים 34 רכסים	922	Quant
11	32.7510245	35.1060699	חצב 2, רכסים	922	Google
1	32.4728028	34.9742001	פרדס חנה-כרכור דרך הבנים, נווה אבות	926	Google
1	32.0214233	34.8350383	ביאדה, ביידה	934	Google
1	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
2	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
3	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
4	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
5	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
6	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
7	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
8	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
9	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
10	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
11	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
12	31.2	34.82	מסעודין אל-עזאזמה 38 מסעודין אל-עזאזמה	939	Quant
1	32.766904	35.16832400000001	סואעד (חמרייה)	942	Quant
1	32.736287	35.1532	בסמת טבעון	944	Quant
2	32.736287	35.1532	בסמת טבעון	944	Quant
3	32.7376536	35.154475	חלף בסמת טבעון	944	Quant
4	32.736287	35.1532	זובידאת בסמת טבעון	944	Quant
5	32.742814	35.157438	משאיח סעדיה בסמת טבעון	944	Quant
6	32.742814	35.157438	משאיח סעדיה בסמת טבעון	944	Quant
7	32.7376536	35.154475	חלף בסמת טבעון	944	Quant
8	32.736287	35.1532	זובידאת, בסמת טבעון	944	Google
1	31.4076497	34.7520751	רהט, הוזייל	956	Google
2	31.415	34.761	הוזייל (שבט)	956	Quant
1	31.28	34.93	עוקבי (בנו עוקבה)	957	Quant
1	33.048792	35.179128	אבו עבדון (שבט)	958	Quant
1	31.326	34.86	אסד (שבט)	960	Quant
1	31.248	34.861	אבו רוקייק (שבט)	961	Quant
2	31.248	34.861	אבו רוקייק (שבט)	961	Quant
3	31.248	34.861	אבו רוקייק (שבט)	961	Quant
4	31.248	34.861	אבו רוקייק (שבט)	961	Quant
5	31.248	34.861	אבו רוקייק (שבט)	961	Quant
6	31.248	34.861	אבו רוקייק (שבט)	961	Quant
7	31.248	34.861	אבו רוקייק (שבט)	961	Quant
1	32.96621	35.592018	טובא-זנגריה	962	Quant
2	32.96621	35.592018	טובא-זנגריה	962	Quant
3	32.96621	35.592018	טובא-זנגריה	962	Quant
4	32.96621	35.592018	טובא-זנגריה	962	Quant
5	32.96621	35.592018	טובא-זנגריה	962	Quant
6	32.96621	35.592018	טובא-זנגריה	962	Quant
7	32.96621	35.592018	טובא-זנגריה, טובא-זנגריה	962	Google
8	32.96621	35.592018	טובא-זנגריה, טובא-זנגריה	962	Google
1	31.19	34.94	אעצם (שבט)	963	Quant
2	31.19	34.94	אעצם (שבט)	963	Quant
3	31.19	34.94	אעצם (שבט)	963	Quant
4	31.19	34.94	אעצם (שבט)	963	Quant
5	31.19	34.94	אעצם (שבט)	963	Quant
6	31.19	34.94	אעצם (שבט)	963	Quant
7	31.19	34.94	אעצם (שבט)	963	Quant
1	31.29	35.11	קודייראת א-צאנע קודייראת א-צאנע(שבט)	964	Quant
2	31.29	35.11	קודייראת א-צאנע קודייראת א-צאנע(שבט)	964	Quant
1	31.264161	34.948716	אטרש (שבט)	965	Quant
2	31.264161	34.948716	אטרש (שבט)	965	Quant
3	31.264161	34.948716	אטרש (שבט)	965	Quant
1	31.249246	35.083681	כסיפה כסיפה אבו רובייעה (שבט)	966	Quant
2	31.25954	34.863897	אבו רובייעה (שבט), אבו רובייעה (שבט)	966	Google
3	31.25954	34.863897	אבו רובייעה (שבט), אבו רובייעה (שבט)	966	Google
4	31.25954	34.863897	אבו רובייעה (שבט), אבו רובייעה (שבט)	966	Google
5	31.249246	35.083681	כסיפה כסיפה, אבו רובייעה (שבט)	966	Google
6	31.249246	35.083681	כסיפה כסיפה, אבו רובייעה (שבט)	966	Google
1	32.496323	35.097292	ערערה-בנגב ערערה-בנגב אבו ג'ווייעד (שבט)	967	Quant
2	32.496323	35.097292	ערערה-בנגב ערערה-בנגב אבו ג'ווייעד (שבט)	967	Quant
3	32.496323	35.097292	ערערה-בנגב ערערה-בנגב אבו ג'ווייעד (שבט)	967	Quant
1	31.103115	34.952003	אבו קורינאת (שבט)	968	Quant
2	31.103115	34.952003	אבו קורינאת (שבט)	968	Quant
3	31.103115	34.952003	אבו קורינאת (שבט)	968	Quant
4	31.103115	34.952003	אבו קורינאת (שבט)	968	Quant
1	31.3	34.93	עטאוונה (שבט)	969	Quant
1	31.345481	34.739126	תראבין א-צאנע (שבט)	970	Quant
1	31.32	35.03	קוואעין (שבט)	972	Quant
1	32.723291	35.220436	זרזיר	975	Quant
2	32.723291	35.220436	זרזיר	975	Quant
3	32.723291	35.220436	זרזיר	975	Quant
4	32.723291	35.220436	זרזיר	975	Quant
5	32.71864000000001	35.222327	עיאדאת זרזיר	975	Quant
6	32.723291	35.220436	זרזיר	975	Quant
7	32.723291	35.220436	זרזיר	975	Quant
8	32.723291	35.220436	זרזיר, זרזיר	975	Google
9	32.723291	35.220436	זרזיר, זרזיר	975	Google
1	31.287156	35.108132	ג'נאביב (שבט)	976	Quant
1	32.750389	35.184	חגאגרה, חג'אג'רה	977	Google
1	32.750389	35.184	כעביה כעביה-טבאש-חג'אג'רה	978	Quant
2	32.748016	35.171925	טבאש כעביה-טבאש-חג'אג'רה	978	Quant
3	32.750389	35.184	חג'אג'רה כעביה-טבאש-חג'אג'רה	978	Quant
4	32.750389	35.184	חג'אג'רה 1 כעביה-טבאש-חג'אג'רה	978	Quant
5	32.750389	35.184	חג'אג'רה 1, כעביה-טבאש-חג'	978	Google
6	32.750389	35.184	כעביה כעביה-טבאש-חג'אג'רה	978	Quant
1	32.758894	35.15837399999999	חואלד, ח'ואלד	986	Google
1	32.909311	35.336928	סואעד כמאנה, סואעד )כמאנה(	989	Google
1	32.772911	35.155512	ראס עלי	990	Quant
1	32.827986	35.490824	חמאם	993	Quant
2	32.827986	35.490824	חמאם	993	Quant
1	32.706219	35.192415	מנשית זבדה	994	Quant
2	32.706219	35.192415	מנשית זבדה	994	Quant
1	32.777591	35.305683	רומת הייב	997	Quant
2	32.777591	35.305683	רומת הייב	997	Quant
1	32.777291	35.22057100000001	ביר אל-מכסור	998	Quant
2	32.777291	35.22057100000001	ביר אל-מכסור	998	Quant
3	32.777291	35.22057100000001	ביר אל-מכסור	998	Quant
4	32.777291	35.22057100000001	ביר אל-מכסור	998	Quant
5	32.777291	35.22057100000001	ביר אל-מכסור	998	Quant
6	32.777291	35.22057100000001	ביר אל-מכסור	998	Quant
7	32.777291	35.22057100000001	ביר אל-מכסור	998	Quant
8	32.777291	35.22057100000001	ביר אל-מכסור	998	Quant
9	32.777291	35.22057100000001	ביר אל-מכסור	998	Quant
10	32.777291	35.22057100000001	ביר אל-מכסור, ביר אל-מכסור	998	Google
1	32.716221	35.127483	ערב זובידאת, זובידאת	999	Google
1	31.79529239999999	35.1463521	שד החוצבים 6 מבשרת ציון	1015	Quant
2	31.79529239999999	35.1463521	שד החוצבים 6 מבשרת ציון	1015	Quant
3	31.79992799999999	35.1565547	האורן 52 מבשרת ציון	1015	Quant
4	31.8012348	35.1481993	יסמין 5 מבשרת ציון	1015	Quant
5	31.8047481	35.1550189	השלום 66 מבשרת ציון	1015	Quant
6	31.8047481	35.1550189	השלום 66 מבשרת ציון	1015	Quant
7	31.8012348	35.1481993	יסמין 5 מבשרת ציון	1015	Quant
8	31.79529239999999	35.1463521	שד החוצבים 6 מבשרת ציון	1015	Quant
9	31.79529239999999	35.1463521	שד החוצבים 6 מבשרת ציון	1015	Quant
12	31.79992799999999	35.1565547	האורן 52 מבשרת ציון	1015	Quant
13	31.79992799999999	35.1565547	האורן 52 מבשרת ציון	1015	Quant
14	31.8047481	35.1550189	השלום 66 מבשרת ציון	1015	Quant
15	31.8012348	35.1481993	יסמין 5 מבשרת ציון	1015	Quant
18	31.8077422	35.1452885	הדרור 32 מבשרת ציון	1015	Quant
19	31.803204	35.146795	ליד מרכז הקליטה, מבשרת ציון	1015	Google
10	31.79529239999999	35.1463521	שד החוצבים 6 מבשרת ציון	1015	Quant
11	31.8012348	35.1481993	יסמין 5 מבשרת ציון	1015	Quant
16	31.8047481	35.1550189	השלום 66 מבשרת ציון	1015	Quant
17	31.80384	35.148385	הדרור 32, מבשרת ציון	1015	Google
20	31.8047124	35.1550227	השלום 66, מבשרת ציון	1015	Google
21	31.8070295	35.1661501	ברקת 42 מבשרת ציון	1015	Quant
23	31.79992799999999	35.1565547	האורן 52 מבשרת ציון	1015	Quant
24	31.8047481	35.1550189	השלום 66 מבשרת ציון	1015	Quant
25	31.79529239999999	35.1463521	שד החוצבים 6 מבשרת ציון	1015	Quant
26	31.7959322	35.1351722	הבושם מבשרת ציון	1015	Quant
27	31.7959322	35.1351722	הבושם מבשרת ציון	1015	Quant
22	31.8070295	35.1661501	ברקת 42 מבשרת ציון	1015	Quant
30	31.79529239999999	35.1463521	שד החוצבים 6 מבשרת ציון	1015	Quant
33	31.80384	35.148385	הדרור 32, מבשרת ציון	1015	Google
34	31.8047124	35.1550227	השלום 66, מבשרת ציון	1015	Google
990	31.80013	35.146344	יסמין 5, מבשרת ציון	1015	Google
28	31.8070295	35.1661501	ברקת 42 מבשרת ציון	1015	Quant
1	32.5060509	34.9218891	ז'בוטינסקי 11 אור עקיבא	1020	Quant
2	32.50863	34.9184894	בלפור אור עקיבא	1020	Quant
3	32.50863	34.9184894	בלפור אור עקיבא	1020	Quant
4	32.5091558	34.9210047	הנביאים אור עקיבא	1020	Quant
5	32.511565	34.9165376	שכ קרוונים אור עקיבא	1020	Quant
6	32.5091558	34.9210047	הנביאים אור עקיבא	1020	Quant
7	32.51314	34.9205002	סטנלי מאיר אור עקיבא	1020	Quant
8	32.5117415	34.914999	ציוני מנחם 8 אור עקיבא	1020	Quant
9	32.5117415	34.914999	ציוני מנחם 8 אור עקיבא	1020	Quant
10	32.5117415	34.914999	ציוני מנחם 8 אור עקיבא	1020	Quant
11	32.5117415	34.914999	ציוני מנחם 8 אור עקיבא	1020	Quant
15	32.498271	34.921217	שד המלך דוד, אור עקיבא	1020	Google
16	32.4987138	34.9249829	התאנה אור עקיבא	1020	Quant
17	32.498271	34.921217	שד המלך דוד, אור עקיבא	1020	Google
18	32.498271	34.921217	שד המלך דוד, אור עקיבא	1020	Google
19	32.4987138	34.9249829	התאנה אור עקיבא	1020	Quant
20	32.5217391	34.9426064	השיטה 2 אור עקיבא	1020	Quant
21	32.5217391	34.9426064	השיטה 2 אור עקיבא	1020	Quant
22	32.498271	34.921217	שד המלך דוד, אור עקיבא	1020	Google
23	32.4987138	34.9249829	התאנה אור עקיבא	1020	Quant
950	32.5141875	34.9187357	שד ירושלים 1 אור עקיבא	1020	Quant
12	32.501772	34.918812	גלפנשטיין מיכאל 1 אור עקיבא	1020	Quant
24	32.5141875	34.9187357	שד ירושלים 1 אור עקיבא	1020	Quant
990	32.50863	34.9184894	בלפור, אור עקיבא	1020	Google
25	32.5141875	34.9187357	שד ירושלים 1 אור עקיבא	1020	Quant
26	32.5141875	34.9187357	שד ירושלים 1 אור עקיבא	1020	Quant
1	32.2291743	34.8657403	הרימון 1 חרוצים	1024	Quant
1	31.526993	34.593785	יוספטל 1 שדרות	1031	Quant
2	31.52532	34.593351	משעול הנשיא שדרות	1031	Quant
3	31.5315315	34.591203	השקד שדרות	1031	Quant
4	31.5201983	34.5983142	הבנים שדרות	1031	Quant
5	31.5206899	34.5907423	משעול פעמונית שדרות	1031	Quant
6	31.5223422	34.58965	לוטם שדרות	1031	Quant
8	31.5278838	34.6024477	שאר ישוב שדרות	1031	Quant
9	31.5315315	34.591203	השקד שדרות	1031	Quant
10	31.5281644	34.6041891	דיין משה 903 שדרות	1031	Quant
11	31.5315315	34.591203	השקד שדרות	1031	Quant
12	31.5278838	34.6024477	שאר ישוב שדרות	1031	Quant
13	31.5281644	34.6041891	דיין משה 903 שדרות	1031	Quant
14	31.5281644	34.6041891	דיין משה 903 שדרות	1031	Quant
15	31.5351735	34.5831121	משה רבנו 120 שדרות	1031	Quant
16	31.531073	34.58476	קרן קיימת לישראל 906 שדרות	1031	Quant
20	31.5241069	34.5964805	הדגל 7 שדרות	1031	Quant
990	31.526993	34.593785	יוספטל 1, שדרות	1031	Google
7	31.5278838	34.6024477	שאר ישוב שדרות	1031	Quant
17	31.5357871	34.5896729	יהושע בן נון 5 שדרות	1031	Quant
18	31.5281644	34.6041891	דיין משה 903 שדרות	1031	Quant
19	31.5315315	34.591203	השקד שדרות	1031	Quant
21	31.5281644	34.6041891	דיין משה 903 שדרות	1031	Quant
22	31.531073	34.58476	קרן קיימת לישראל 906 שדרות	1031	Quant
23	31.52867	34.58885	קרן קיימת לישראל 906, שדרות	1031	Google
24	31.5351735	34.5831121	משה רבנו 120 שדרות	1031	Quant
25	31.5278838	34.6024477	שאר ישוב שדרות	1031	Quant
26	31.531073	34.58476	קרן קיימת לישראל 906 שדרות	1031	Quant
27	31.5260639	34.5874695	המגינים 17 שדרות	1031	Quant
30	31.5206899	34.5907423	משעול פעמונית שדרות	1031	Quant
950	31.5315575	34.5911542	השקד, שדרות	1031	Google
28	31.5351735	34.5831121	משה רבנו 120 שדרות	1031	Quant
31	31.5281644	34.6041891	דיין משה 903 שדרות	1031	Quant
29	31.5345039	34.5853152	משה רבנו 120, שדרות	1031	Google
32	31.5345039	34.5853152	משה רבנו 120, שדרות	1031	Google
34	31.5274639	34.5926955	יוספטל, שדרות	1031	Google
1	31.7321939	34.7423088	גובר רבקה ומרדכי קרית מלאכי	1034	Quant
2	31.7347852	34.7461254	בר יהודה קרית מלאכי	1034	Quant
3	31.7297567	34.7464205	ז'בוטינסקי קרית מלאכי	1034	Quant
4	31.7347852	34.7461254	בר יהודה קרית מלאכי	1034	Quant
5	31.7306055	34.747219	הנגב קרית מלאכי	1034	Quant
6	31.730174	34.744954	ספרא 34 קרית מלאכי	1034	Quant
7	31.7305994	34.7511257	סאן דייגו קרית מלאכי	1034	Quant
8	31.7284974	34.7402146	שד ירושלים קרית מלאכי	1034	Quant
9	31.729754	34.74267	שד בן גוריון, קרית מלאכי	1034	Google
10	31.729754	34.74267	שד בן גוריון, קרית מלאכי	1034	Google
11	31.7321939	34.7423088	גובר רבקה ומרדכי קרית מלאכי	1034	Quant
12	31.724587	34.745659	הורדים 16 קרית מלאכי	1034	Quant
13	31.729754	34.74267	שד בן גוריון, קרית מלאכי	1034	Google
14	31.7306055	34.747219	הנגב קרית מלאכי	1034	Quant
22	31.7321939	34.7423088	גובר רבקה ומרדכי קרית מלאכי	1034	Quant
23	31.7347852	34.7461254	בר יהודה קרית מלאכי	1034	Quant
24	31.7347852	34.7461254	בר יהודה קרית מלאכי	1034	Quant
28	31.7284974	34.7402146	שד ירושלים קרית מלאכי	1034	Quant
29	31.7284974	34.7402146	שד ירושלים קרית מלאכי	1034	Quant
15	31.7306055	34.747219	הנגב קרית מלאכי	1034	Quant
16	31.7297567	34.7464205	ז'בוטינסקי קרית מלאכי	1034	Quant
21	31.7297567	34.7464205	ז'בוטינסקי קרית מלאכי	1034	Quant
30	31.7284974	34.7402146	שד ירושלים קרית מלאכי	1034	Quant
17	31.7240153	34.7453759	הורדים 16, קרית מלאכי	1034	Google
18	31.7347852	34.7461254	בר יהודה קרית מלאכי	1034	Quant
19	31.7297567	34.7464205	ז'בוטינסקי קרית מלאכי	1034	Quant
950	31.7313624	34.73899919999999	שד בן גוריון 38 קרית מלאכי	1034	Quant
990	31.7281292	34.7404685	שד ירושלים, קרית מלאכי	1034	Google
31	31.7240153	34.7453759	הורדים 16, קרית מלאכי	1034	Google
1	31.25	35.03	נצאצרה (שבט)	1041	Quant
1	31.324884	34.866219	לקיה לקיה, אבו עמאר (שבט)	1042	Google
1	33.085919	35.315627	שתולה	1045	Quant
1	31.238436	34.431893	אוהד	1046	Quant
1	32.90658	35.395291	חזון	1047	Quant
1	32.041414	34.833064	שד האורנים, רמת אפעל	1049	Google
2	32.041414	34.833064	שד האורנים, רמת אפעל	1049	Google
3	32.041414	34.833064	שד האורנים, רמת אפעל	1049	Google
4	32.041414	34.833064	שד האורנים, רמת אפעל	1049	Google
1	31.889811	34.9165235	בית חשמונאי	1050	Quant
2	31.889811	34.9165235	בית חשמונאי	1050	Quant
1	31.229611	34.429114	תלמי אליהו	1051	Quant
1	29.97088699999999	35.06135500000001	קטורה	1052	Quant
1	31.255963	34.867464	שכ 11 תל שבע	1054	Quant
2	31.251634	34.865404	שכ 10 תל שבע	1054	Quant
3	31.248409	34.860782	שכ 1 תל שבע	1054	Quant
4	31.256301	34.861501	שכ 7 תל שבע	1054	Quant
5	31.248523	34.853519	שכ 3 תל שבע	1054	Quant
6	31.248523	34.853519	שכ 3 תל שבע	1054	Quant
7	31.249931	34.856952	שכ 6 תל שבע	1054	Quant
8	31.249931	34.856952	שכ 6 תל שבע	1054	Quant
9	31.245001	34.86708	שכ 14 תל שבע	1054	Quant
10	31.245001	34.86708	שכ 14 תל שבע	1054	Quant
11	31.245001	34.86708	שכ 14 תל שבע	1054	Quant
12	31.256301	34.861501	שכ 7 תל שבע	1054	Quant
13	31.255963	34.867464	שכ 11 תל שבע	1054	Quant
14	31.25690299999999	34.861449	שכ 7, תל שבע	1054	Google
1	31.152068	35.364771	נווה זוהר	1057	Quant
1	31.230035	34.418363	שדה ניצן	1058	Quant
1	31.244011	35.094868	שכ 42 כסיפה	1059	Quant
2	31.249246	35.083681	שכ 33, כסיפה	1059	Google
3	31.2460575	35.089055	שכ 33 כסיפה	1059	Quant
4	31.243375	35.096499	שכ 18 כסיפה	1059	Quant
5	31.249246	35.083681	כסיפה	1059	Quant
6	31.242709	35.0939425	שכ 32 כסיפה	1059	Quant
7	31.250282	35.086346	שכ 30 כסיפה	1059	Quant
8	31.243375	35.096499	שכ 18 כסיפה	1059	Quant
9	31.243375	35.096499	שכ 18 כסיפה	1059	Quant
10	31.242709	35.0939425	שכ 32 כסיפה	1059	Quant
11	31.249246	35.083681	כסיפה	1059	Quant
12	31.249246	35.083681	שכ 33, כסיפה	1059	Google
13	31.249246	35.083681	שכ 32, כסיפה	1059	Google
1	31.324884	34.866219	לקיה	1060	Quant
2	31.324884	34.866219	לקיה	1060	Quant
3	31.324884	34.866219	לקיה	1060	Quant
4	31.324884	34.866219	שכ 8 לקיה	1060	Quant
5	31.324884	34.866219	לקיה	1060	Quant
6	31.324884	34.866219	לקיה	1060	Quant
7	31.324884	34.866219	שכ 15 לקיה	1060	Quant
8	31.324884	34.866219	לקיה	1060	Quant
9	31.324884	34.866219	שכ 15 לקיה	1060	Quant
10	31.324884	34.866219	לקיה	1060	Quant
11	31.324884	34.866219	לקיה	1060	Quant
12	31.317123	34.85757	שכ 8, לקיה	1060	Google
1	32.709822	35.309325	מגידו נוף הגליל	1061	Quant
2	32.711539	35.324812	מנחם אריאב נוף הגליל	1061	Quant
3	32.7090868	35.3140642	חרמון 3 נוף הגליל	1061	Quant
4	32.710281	35.325352	גולן נוף הגליל	1061	Quant
7	32.7084238	35.3266423	תבור 55, נצרת עילית	1061	Google
8	32.711539	35.324812	מנחם אריאב נוף הגליל	1061	Quant
9	32.7084238	35.3266423	תבור 55, נצרת עילית	1061	Google
10	32.7070748	35.3219286	עצמון 7 נוף הגליל	1061	Quant
11	32.7070748	35.3219286	עצמון 7 נוף הגליל	1061	Quant
12	32.706481	35.320388	שומרון 01, נצרת עילית	1061	Google
13	32.710281	35.325352	גולן נוף הגליל	1061	Quant
14	32.711539	35.324812	מנחם אריאב נוף הגליל	1061	Quant
15	32.6950756	35.3164782	העליה 23 נוף הגליל	1061	Quant
16	32.710281	35.325352	גולן נוף הגליל	1061	Quant
17	32.711539	35.324812	מנחם אריאב 55 נוף הגליל	1061	Quant
18	32.697444	35.3151337	החיטה נוף הגליל	1061	Quant
19	32.6950756	35.3164782	העליה 23 נוף הגליל	1061	Quant
20	32.6903397	35.3160471	השקמה 9 נוף הגליל	1061	Quant
21	32.6934832	35.3180431	תירוש 2 נוף הגליל	1061	Quant
22	32.6903397	35.3160471	השקמה 9 נוף הגליל	1061	Quant
23	32.6895629	35.3144157	השקמה 6 נוף הגליל	1061	Quant
24	32.6934832	35.3180431	תירוש 2 נוף הגליל	1061	Quant
25	32.69103	35.31432	החצב 9ג נוף הגליל	1061	Quant
26	32.6903397	35.3160471	השקמה 9 נוף הגליל	1061	Quant
27	32.711539	35.324812	יזרעאל נוף הגליל	1061	Quant
28	32.6977666	35.318806	שקד 41 נוף הגליל	1061	Quant
29	32.6931804	35.3181043	יזרעאל 17 נוף הגליל	1061	Quant
30	32.6977666	35.318806	שקד 41 נוף הגליל	1061	Quant
31	32.6943565	35.3195246	חרוב 15 נוף הגליל	1061	Quant
32	32.6977666	35.318806	שקד 41 נוף הגליל	1061	Quant
33	32.6950756	35.3164782	העליה 23 נוף הגליל	1061	Quant
34	32.689335	35.3139019	השקמה 1 נוף הגליל	1061	Quant
35	32.6981257	35.3240699	דולב 8 נוף הגליל	1061	Quant
36	32.7003473	35.3271306	ורדים נוף הגליל	1061	Quant
37	32.7281087	35.3389805	גלעד 24 נוף הגליל	1061	Quant
38	32.7025965	35.3253126	שכ זאב נוף הגליל	1061	Quant
41	32.6938337	35.31209279999999	סביון 1 נוף הגליל	1061	Quant
42	32.6978946	35.3123012	אורה 2א נוף הגליל	1061	Quant
43	32.711539	35.324812	דרך אריאל שרון 2 נוף הגליל	1061	Quant
44	32.6938337	35.31209279999999	סביון 1 נוף הגליל	1061	Quant
45	32.6938337	35.31209279999999	סביון 1 נוף הגליל	1061	Quant
46	32.6938337	35.31209279999999	סביון 1 נוף הגליל	1061	Quant
51	32.711539	35.324812	חמניות 14 נוף הגליל	1061	Quant
55	32.7247539	35.3359433	יקינטון 7 נוף הגליל	1061	Quant
56	32.7240407	35.330598	מורן 40 נוף הגליל	1061	Quant
5	32.7090868	35.3140642	חרמון 3 נוף הגליל	1061	Quant
6	32.711539	35.324812	מנחם אריאב נוף הגליל	1061	Quant
39	32.6981257	35.3240699	דולב 8 נוף הגליל	1061	Quant
40	32.7025965	35.3253126	שכ זאב נוף הגליל	1061	Quant
47	32.6938337	35.31209279999999	סביון 1 נוף הגליל	1061	Quant
48	32.6895629	35.3144157	השקמה 6 נוף הגליל	1061	Quant
49	32.6977666	35.318806	שקד 41 נוף הגליל	1061	Quant
52	32.7044208	35.3204424	הפסגות 9 נוף הגליל	1061	Quant
53	32.70185190000001	35.3121994	גלבוע 16, נצרת עילית	1061	Google
57	32.7247539	35.3359433	יקינטון 7 נוף הגליל	1061	Quant
58	32.7246195	35.3354265	יקינטון נוף הגליל	1061	Quant
70	32.7269287	35.33384170000001	אשוח נוף הגליל	1061	Quant
71	32.7295551	35.33182620000001	רותם 2 נוף הגליל	1061	Quant
72	32.7289459	35.3336594	כרכום 12 נוף הגליל	1061	Quant
73	32.7269287	35.33384170000001	אשוח נוף הגליל	1061	Quant
74	32.730434	35.32978	כליל החורש נוף הגליל	1061	Quant
75	32.7269287	35.33384170000001	אשוח נוף הגליל	1061	Quant
76	32.730434	35.32978	כליל החורש נוף הגליל	1061	Quant
951	32.7289459	35.3336594	כרכום 12 נוף הגליל	1061	Quant
50	32.711539	35.324812	חמניות 14 נוף הגליל	1061	Quant
59	32.6931804	35.3181043	יזרעאל 17 נוף הגליל	1061	Quant
77	32.7084238	35.3266423	תבור 55, נצרת עילית	1061	Google
950	32.7246331	35.33532599999999	יקינטון, נצרת עילית	1061	Google
990	32.70185190000001	35.3121994	גלבוע 16, נצרת עילית	1061	Google
60	32.711539	35.324812	הרב אהרן ליב שטימן נוף הגליל	1061	Quant
1	32.02924	34.872325	שוהם, נווה אפרים	1062	Google
2	32.02924	34.872325	שוהם, נווה אפרים	1062	Google
3	32.02924	34.872325	שוהם, נווה אפרים	1062	Google
1	33.0131309	35.2841892	הארזים 87 מעלות-תרשיחא	1063	Quant
2	33.0032866	35.2788068	אשכולות 35 מעלות-תרשיחא	1063	Quant
3	33.015026	35.276017	אבו אלעלא אלמערי מעלות-תרשיחא	1063	Quant
4	33.0137887	35.2807783	ז'בוטינסקי 21 מעלות-תרשיחא	1063	Quant
5	33.01996200000001	35.277005	חרושת מעלות-תרשיחא	1063	Quant
6	33.0176322	35.287838	קרן היסוד 36 מעלות-תרשיחא	1063	Quant
7	33.0052822	35.2684583	מעלה ההר מעלות-תרשיחא	1063	Quant
8	33.0142382	35.2829413	הרב קוק 14 מעלות-תרשיחא	1063	Quant
9	33.016423	35.281102	לוי אשכול 444 מעלות-תרשיחא	1063	Quant
10	33.0170813	35.2819058	"שז""ר זלמן 5 מעלות-תרשיחא"	1063	Quant
11	33.0186774	35.2839156	המעפילים 1 מעלות-תרשיחא	1063	Quant
12	33.01920430000001	35.2853381	שד ירושלים 1 מעלות-תרשיחא	1063	Quant
