סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,lon,lat,Address,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
18,9179,דימונה,2200,19,35.0346029,31.0724049,שד בן גוריון דימונה,13,0,599,373,3,370,20,6,0,0,0,0,0,18,0,0,0,0,0,0,0,6,11,226,3,0,0,0,45,0,0,0,0,0,0,0,1,34
18,9180,דימונה,2200,20,35.033363,31.069419,"רחבת רמב""ם דימונה",5,0,350,200,2,198,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,2,13,103,2,0,0,0,28,0,0,0,1,0,0,0,0,36
18,9181,דימונה,2200,21,35.0397864,31.0635398,כובשי אילת דימונה,1,0,583,340,7,333,11,3,0,1,0,0,0,15,0,0,0,0,0,0,0,4,25,181,1,0,0,0,36,0,0,0,0,1,0,0,2,53
18,9182,דימונה,2200,22,35.0346029,31.0724049,שד בן גוריון דימונה,14,0,550,280,6,274,8,4,0,0,0,0,0,5,0,0,0,0,0,0,0,4,42,128,4,0,0,0,31,0,0,0,0,0,0,0,0,48
18,9183,דימונה,2200,23,35.029429,31.069589,העצמאות 52 דימונה,6,0,528,228,1,227,3,0,2,4,0,0,1,6,0,0,0,0,0,0,0,2,34,120,5,0,0,0,28,0,0,0,0,0,0,0,0,22
18,9184,דימונה,2200,24,35.029429,31.069589,העצמאות 52 דימונה,6,0,404,208,5,203,3,5,0,1,0,0,0,9,0,0,0,0,0,0,0,3,39,101,2,0,0,0,13,0,0,0,0,0,0,0,0,27
18,9185,דימונה,2200,27,35.039136,31.07181,המעפיל 1 דימונה,2,0,646,450,8,442,29,6,0,0,0,0,0,15,0,0,0,0,0,0,0,12,18,262,0,0,0,0,45,0,0,0,0,0,0,1,0,54
18,9186,דימונה,2200,28,35.033363,31.069419,"רחבת רמב""ם דימונה",5,0,524,301,2,299,10,9,0,0,0,0,0,7,0,1,0,0,0,0,0,6,29,163,2,0,0,0,30,1,0,0,0,0,0,0,0,41
18,9187,דימונה,2200,30,35.042268,31.073051,שבזי שלום דימונה,70,0,673,394,7,387,8,4,0,0,0,0,0,8,0,0,0,1,0,0,0,7,61,206,7,1,1,0,48,0,0,0,0,0,0,0,0,35
18,9188,דימונה,2200,31,35.042268,31.073051,שבזי שלום דימונה,70,0,672,385,6,379,5,5,1,1,0,0,0,3,0,0,0,0,0,0,1,4,76,210,0,0,0,0,44,0,0,0,0,1,0,0,0,28
18,9189,דימונה,2200,32,35.033363,31.069419,"רחבת רמב""ם דימונה",5,0,566,297,7,290,4,2,0,0,0,0,0,13,0,0,0,0,0,0,0,2,32,164,2,0,0,0,41,0,1,0,0,0,0,0,1,28
18,9190,דימונה,2200,33,35.039136,31.07181,המעפיל 1 דימונה,2,0,625,375,2,373,13,5,0,0,0,0,0,17,0,0,0,0,0,0,0,6,29,211,1,0,0,0,46,0,0,0,0,0,1,0,0,44
18,9191,דימונה,2200,34,35.029429,31.069589,העצמאות 52 דימונה,6,0,376,211,3,208,5,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,22,113,1,0,0,0,32,0,0,0,0,1,1,0,0,25
18,9192,דימונה,2200,36,35.0379084,31.05574679999999,גמלא 44 דימונה,15,0,604,403,6,397,16,1,0,0,0,0,0,16,0,0,0,0,0,0,0,3,58,209,0,0,0,0,55,0,0,0,0,0,0,0,0,39
18,9193,דימונה,2200,37,35.0393875,31.055109,כורזין דימונה,23,0,647,430,3,427,5,0,0,0,0,0,0,14,1,0,0,0,0,0,0,10,54,250,1,0,0,0,52,0,0,0,0,0,0,0,1,39
18,9194,דימונה,2200,39,35.0400296,31.0798404,דפנה 9 דימונה,20,0,749,520,3,517,26,2,0,0,0,0,0,23,0,0,0,0,0,0,0,19,8,320,0,0,0,0,62,0,0,0,0,0,0,0,0,57
18,9195,דימונה,2200,40,35.0429947,31.0796741,דולב 11 דימונה,72,0,762,576,0,576,19,3,0,0,0,0,0,41,0,0,0,0,0,0,0,2,9,371,0,0,0,0,80,0,0,0,0,0,1,0,0,50
18,9196,דימונה,2200,41,35.0416339,31.078611,כליל החורש 26 דימונה,16,0,722,529,7,522,24,3,0,0,0,0,0,27,0,3,0,0,0,0,0,13,23,292,1,0,0,0,77,0,0,0,0,0,0,0,0,59
18,9197,דימונה,2200,42,35.0408701,31.0791523,ברקן 18 דימונה,17,0,718,512,5,507,23,4,1,0,0,0,2,27,0,0,0,0,0,0,0,13,15,301,1,0,0,0,73,0,0,0,0,0,0,0,0,47
18,9198,דימונה,2200,43,35.0427037,31.081566,חרצית 21 דימונה,71,0,706,505,2,503,26,1,0,0,0,0,0,15,0,0,0,0,0,0,0,18,9,297,2,0,0,0,73,0,0,0,0,0,0,0,0,62
18,9199,דימונה,2200,44,35.0400296,31.0798404,דפנה 9 דימונה,20,0,742,551,3,548,13,6,0,0,0,0,0,23,0,0,0,0,0,0,0,4,13,390,0,0,0,0,56,0,0,0,0,0,0,0,0,43
18,9200,דימונה,2200,45,35.042268,31.073051,שבזי שלום דימונה,70,0,541,326,4,322,3,7,0,0,0,0,0,6,0,0,0,0,0,0,0,3,68,165,3,0,0,0,47,0,0,0,0,0,0,0,1,19
18,9201,דימונה,2200,47,35.0393875,31.055109,כורזין דימונה,23,0,787,576,4,572,27,1,2,0,0,0,0,39,0,0,0,0,0,0,0,8,22,310,1,0,0,0,109,1,0,0,0,0,0,0,0,52
18,9202,דימונה,2200,48,35.0379084,31.05574679999999,גמלא 44 דימונה,15,0,568,410,3,407,16,1,0,0,0,0,0,13,1,0,0,0,0,0,0,8,21,255,0,0,0,0,57,0,0,0,0,0,0,0,0,35
18,9203,דימונה,2200,66,35.0273641,31.0745088,"רחבת האצ""ל דימונה",22,0,685,370,0,370,12,10,3,0,0,0,0,11,0,1,0,0,0,0,0,9,15,236,1,0,0,0,37,1,0,0,0,0,0,0,0,34
18,9204,דימונה,2200,67,35.0273641,31.0745088,"רחבת האצ""ל דימונה",22,0,610,379,8,371,12,16,3,0,0,0,1,28,0,0,0,0,0,0,0,2,10,201,1,0,0,0,33,0,0,0,1,0,0,0,0,63
18,9205,דימונה,2200,68,35.0273641,31.0745088,"רחבת האצ""ל דימונה",22,0,532,343,3,340,20,8,0,1,0,0,0,21,0,0,0,0,0,0,0,9,32,164,3,0,0,0,42,0,0,0,0,0,0,0,0,40
18,9206,דימונה,2200,69,35.0273641,31.0745088,"רחבת האצ""ל דימונה",22,0,459,249,3,246,8,10,0,0,0,0,0,11,0,0,0,0,1,0,0,6,36,111,2,0,0,0,29,0,0,0,0,0,0,0,0,32
18,9207,דימונה,2200,90,35.0390414,31.0691266,דרך ברלב דימונה,18,0,177,81,5,76,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,48,0,0,0,0,17,0,0,0,0,0,0,0,0,7
18,9208,דימונה,2200,91,35.033363,31.069419,מחנה עדי דימונה,74,0,212,154,0,154,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,33,9,0,0,0,89,0,0,0,0,0,0,0,0,0
3,1127,דישון,2063,1,35.517572,33.082318,דישון,1,0,295,179,0,179,12,0,0,0,0,0,3,14,0,0,0,0,0,0,0,5,10,86,0,0,0,0,30,0,0,0,0,0,0,0,0,19
5,2001,דליה,300,1,35.075699,32.590926,דליה,1,0,651,475,0,475,46,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,3,11,167,1,0,0,237,1,0,0,0,0,0,0,0,1
3,1128,דלתון,431,1,35.489911,33.016553,דלתון,1,0,627,458,3,455,12,5,0,0,0,0,4,25,0,0,0,0,0,0,0,28,1,271,0,0,0,0,7,0,0,0,0,0,0,0,0,102
6,2561,דמיידה,1317,1,35.2265642,32.8149647,דמיידה,1,0,315,200,1,199,0,0,165,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,12,0,0,0,14,0,0,0,0,0,0,1,0,0
3,1224,דן,303,1,34.8214406,32.107096,דן,1,0,528,409,2,407,57,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,9,11,120,0,0,0,201,0,0,1,0,0,0,0,0,0
3,1225,דפנה,302,1,35.638268,33.23075,דפנה,1,0,573,452,1,451,71,0,2,0,0,0,1,7,0,0,0,0,0,0,0,4,12,37,67,0,0,0,246,0,0,0,0,0,0,0,0,4
18,9676,דקל,1241,1,34.803907,32.0972885,דקל,1,0,265,170,0,170,21,0,0,0,0,0,18,7,1,0,0,0,0,0,0,1,4,37,5,0,0,0,76,0,0,0,0,0,0,0,0,0
18,9841,דריג'את,1349,1,35.076793,31.301885,דריג'את,1,0,541,360,1,359,3,1,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,0,1,0,27,0,0,1,0,0,0,0,0,2
4,1429,האון,702,1,35.622665,32.726748,האון,1,0,152,92,1,91,27,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,4,12,3,0,0,0,32,0,0,0,0,0,0,0,2,4
9,3739,הבונים,675,1,34.932704,32.636586,הבונים,2,0,299,201,0,201,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,16,40,0,0,0,118,0,0,0,0,0,0,0,0,0
3,1226,הגושרים,356,1,35.623028,33.221485,הגושרים,1,0,636,451,2,449,71,1,2,0,0,0,0,6,0,1,0,0,0,0,1,3,17,52,48,0,0,0,243,0,0,1,0,0,0,0,0,3
10,4712,הדר עם,191,1,34.898945,32.349653000000004,הדר עם,1,0,511,413,0,413,33,2,2,0,0,0,1,6,0,2,0,0,0,0,0,1,20,36,61,0,0,0,248,0,0,0,0,0,0,0,0,1
19,10369,הוד השרון,9700,1,34.8900157,32.1604868,משאבים 46 הוד השרון,7,0,745,565,0,565,56,2,1,0,1,0,0,16,0,0,0,0,0,0,0,4,25,97,41,0,0,0,313,0,0,0,0,0,0,0,1,8
19,10370,הוד השרון,9700,2,34.8986832,32.1595466,הדרים 12 הוד השרון,18,0,677,514,1,513,50,2,2,0,0,0,1,11,0,1,0,0,0,0,0,5,37,78,51,0,0,0,262,0,0,0,0,0,0,0,0,13
19,10371,הוד השרון,9700,3,34.875044,32.1532,סאלד הנריאטה 2 הוד השרון,26,0,778,621,3,618,42,1,3,0,0,0,0,9,0,0,0,0,0,0,0,5,30,82,44,0,0,0,397,0,0,0,0,0,0,0,0,5
19,10372,הוד השרון,9700,4,34.875044,32.1532,סאלד הנריאטה 2 הוד השרון,26,0,667,450,1,449,25,3,0,0,0,0,0,21,0,0,0,0,0,0,0,8,13,206,10,0,0,0,101,0,0,0,0,0,1,0,0,61
19,10373,הוד השרון,9700,5,34.8758454,32.1475634,יורדי הים 36 הוד השרון,9,0,593,467,0,467,31,1,1,0,0,0,0,13,0,0,0,0,0,0,0,3,14,105,44,0,0,0,224,0,0,0,0,0,0,0,0,31
19,10374,הוד השרון,9700,6,34.8999887,32.1390834,אלכסנדר הגדול 15 הוד השרון,3,0,543,392,1,391,28,3,0,0,0,0,2,19,0,1,0,0,0,0,1,9,7,136,31,0,0,0,120,1,1,0,0,0,0,0,0,32
19,10375,הוד השרון,9700,7,34.8999887,32.1390834,אלכסנדר הגדול 15 הוד השרון,3,1,487,359,0,359,36,5,0,0,0,0,1,18,0,0,0,0,0,0,0,4,17,105,28,0,0,0,136,0,0,0,0,0,0,0,0,9
19,10376,הוד השרון,9700,8,34.8999887,32.1390834,אלכסנדר הגדול 15 הוד השרון,3,0,658,452,5,447,23,5,0,0,0,0,0,15,0,0,0,0,0,0,0,1,12,180,27,0,0,0,157,0,0,0,0,0,0,0,0,27
19,10377,הוד השרון,9700,9,34.8740664,32.1372067,השומר 20 הוד השרון,10,0,776,608,0,608,44,0,0,1,0,0,3,7,1,0,0,0,0,0,0,3,21,121,51,0,0,0,353,0,0,0,0,0,0,0,0,3
19,10378,הוד השרון,9700,10,34.902063,32.15640250000001,פדויים 16 הוד השרון,20,0,692,439,3,436,34,5,1,0,0,0,0,15,0,0,0,0,0,0,0,5,18,91,33,0,0,0,221,0,0,0,0,0,0,0,1,12
19,10379,הוד השרון,9700,11,34.90356999999999,32.1595811,זקיף 10 הוד השרון,11,0,669,506,0,506,40,1,2,1,0,0,2,11,0,1,0,0,0,0,0,2,29,83,50,0,0,0,276,0,0,0,1,0,0,0,0,7
19,10380,הוד השרון,9700,12,34.896871,32.10703,נחשון 6 הוד השרון,24,0,747,613,0,613,61,1,0,0,0,0,2,9,0,0,0,0,0,0,0,5,37,72,50,0,0,0,370,0,0,0,0,1,0,0,0,5
19,10381,הוד השרון,9700,13,34.9077117,32.1559087,המגן 32 הוד השרון,21,0,654,521,1,520,45,0,0,0,0,0,2,17,0,1,0,0,0,0,0,1,19,77,46,0,0,0,302,1,0,0,0,0,0,0,0,9
19,10382,הוד השרון,9700,14,34.9144453,32.1571556,גולומב 4 הוד השרון,4,0,646,495,1,494,36,0,2,0,0,0,0,12,0,0,0,0,0,0,0,3,20,75,51,0,0,0,276,0,0,0,1,0,0,0,1,17
19,10383,הוד השרון,9700,15,34.9191082,32.1593278,קבוץ גלויות 8 הוד השרון,13,0,580,451,0,451,34,6,1,0,0,0,0,22,0,0,0,0,0,0,0,12,9,201,27,1,0,0,103,0,1,0,0,0,0,0,0,34
19,10384,הוד השרון,9700,16,34.8900157,32.1604868,משאבים 46 הוד השרון,7,0,748,514,1,513,36,0,1,0,0,0,1,12,0,0,0,1,0,0,0,4,29,102,42,0,0,0,268,0,0,0,0,0,0,0,0,17
19,10385,הוד השרון,9700,17,34.9144453,32.1571556,גולומב 4 הוד השרון,4,0,560,445,1,444,30,10,0,0,0,0,1,15,0,1,0,0,0,0,0,9,5,148,19,0,0,0,163,0,0,0,0,0,0,0,0,43
19,10386,הוד השרון,9700,18,34.902063,32.15640250000001,פדויים 16 הוד השרון,20,0,638,444,1,443,38,2,0,0,0,0,0,10,0,0,0,0,0,0,0,4,23,67,49,0,0,0,243,0,0,0,0,0,0,0,0,7
19,10387,הוד השרון,9700,19,34.902063,32.15640250000001,פדויים 16 הוד השרון,20,1,485,349,1,348,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,19,51,38,0,0,0,200,0,0,0,0,0,0,0,0,2
19,10388,הוד השרון,9700,20,34.8986832,32.1595466,הדרים 12 הוד השרון,18,0,624,475,2,473,31,2,0,0,0,0,1,21,0,0,1,0,0,0,0,5,31,108,33,0,1,0,220,1,0,0,0,0,0,0,0,18
19,10389,הוד השרון,9700,21,34.888214,32.1517108,דרך כפר הדר 33 הוד השרון,17,0,651,446,1,445,30,1,0,1,0,0,0,11,0,1,0,0,0,0,0,1,27,74,43,0,0,0,247,0,0,0,0,0,0,0,0,9
19,10390,הוד השרון,9700,22,34.8843879,32.1749392,קורצ'אק יאנוש 1 הוד השרון,19,1,736,585,1,584,39,1,0,0,0,0,0,14,0,0,0,1,0,0,1,5,43,125,38,0,0,0,302,0,0,0,1,0,0,0,0,14
19,10391,הוד השרון,9700,23,34.9191082,32.1593278,קבוץ גלויות 8 הוד השרון,13,0,552,385,5,380,22,2,1,0,0,0,2,13,0,1,0,0,0,0,0,2,11,204,17,0,0,0,89,0,0,0,1,0,0,0,0,15
19,10392,הוד השרון,9700,24,34.8900157,32.1604868,משאבים 46 הוד השרון,7,0,735,583,0,583,49,2,0,0,0,0,1,12,0,1,0,0,0,0,0,2,29,69,49,0,0,0,364,1,0,0,0,0,0,0,1,3
19,10393,הוד השרון,9700,25,34.8950419,32.1590283,הרשות 6א הוד השרון,6,0,746,544,0,544,40,4,0,1,0,0,1,15,0,0,0,0,0,0,0,0,27,116,33,0,0,0,291,0,0,0,0,0,0,0,0,16
19,10394,הוד השרון,9700,26,34.888214,32.1517108,דרך כפר הדר 33 הוד השרון,17,0,698,494,0,494,44,1,1,0,0,0,1,13,0,0,0,1,0,0,0,5,16,99,45,0,0,0,259,0,1,0,0,0,0,0,0,8
19,10395,הוד השרון,9700,27,34.8925798,32.1507833,השחר 36 הוד השרון,5,0,668,501,2,499,48,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,17,104,42,0,0,0,260,0,0,0,0,0,1,0,0,7
19,10396,הוד השרון,9700,28,34.8986832,32.1595466,הדרים 12 הוד השרון,18,0,700,466,2,464,51,0,2,0,0,0,2,3,0,0,0,0,0,0,0,4,24,73,53,1,0,0,245,0,0,0,0,0,0,0,0,6
19,10397,הוד השרון,9700,29,34.8925798,32.1507833,השחר 36 הוד השרון,5,0,737,555,1,554,35,4,0,0,0,0,1,5,0,0,0,0,0,0,0,0,18,124,41,0,0,0,304,0,0,0,0,0,0,0,0,22
19,10398,הוד השרון,9700,30,34.8900157,32.1604868,משאבים 46 הוד השרון,7,0,695,464,2,462,43,1,1,1,0,0,0,12,0,0,0,0,0,0,1,9,19,103,39,0,0,0,230,0,0,0,0,0,0,0,0,3
19,10399,הוד השרון,9700,31,34.8928339,32.151296,השחר 34 הוד השרון,14,0,733,434,4,430,37,4,0,0,0,0,0,21,0,1,0,0,0,0,0,7,23,148,21,0,0,0,148,0,0,0,1,0,0,0,0,19
19,10400,הוד השרון,9700,32,34.8925798,32.1507833,השחר 36 הוד השרון,5,1,718,542,3,539,49,1,5,0,0,0,0,11,0,0,0,0,0,0,0,1,24,115,66,0,0,0,256,0,0,0,0,0,0,0,0,11
19,10401,הוד השרון,9700,33,34.8919892,32.1410566,פשוש 4 הוד השרון,23,0,717,546,0,546,33,1,0,0,0,0,0,15,0,0,0,0,0,0,0,2,24,87,44,0,0,0,336,1,0,0,0,0,0,0,0,3
19,10402,הוד השרון,9700,34,34.888214,32.1517108,דרך כפר הדר 33 הוד השרון,17,0,670,497,1,496,56,2,3,0,0,0,0,14,0,0,0,0,0,0,0,0,22,68,42,0,0,0,286,0,0,0,0,0,0,0,0,3
19,10403,הוד השרון,9700,35,34.8740664,32.1372067,השומר 20 הוד השרון,10,0,721,518,2,516,27,2,1,1,0,0,1,22,0,1,0,0,0,0,0,5,17,198,29,0,0,0,176,0,0,0,1,0,0,0,0,35
19,10404,הוד השרון,9700,36,34.8939196,32.143783,ז'בוטינסקי 4 הוד השרון,12,0,694,527,12,515,48,2,0,0,0,0,0,8,0,0,0,0,0,0,0,1,17,91,46,0,0,0,301,0,0,0,0,0,0,0,0,1
19,10405,הוד השרון,9700,37,34.8939196,32.143783,ז'בוטינסקי 4 הוד השרון,12,0,486,371,0,371,26,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,18,53,24,0,0,0,242,0,0,0,0,0,0,0,0,1
19,10406,הוד השרון,9700,38,34.8925798,32.1507833,השחר 36 הוד השרון,5,0,734,580,2,578,38,3,1,1,0,0,0,16,1,0,0,0,0,0,0,2,34,104,47,0,0,0,325,0,0,0,0,0,0,0,0,6
19,10407,הוד השרון,9700,39,34.8919892,32.1410566,פשוש 4 הוד השרון,23,1,656,522,0,522,45,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,19,43,50,0,0,0,349,0,0,0,0,0,0,0,0,0
19,10408,הוד השרון,9700,40,34.8984054,32.1668805,גולדה מאיר 9 הוד השרון,25,1,688,578,0,578,37,1,0,0,0,0,0,13,0,1,0,0,0,0,0,1,30,70,53,0,0,0,366,0,0,0,0,0,0,0,0,6
19,10409,הוד השרון,9700,41,34.8986832,32.1595466,הדרים 12 הוד השרון,18,1,769,542,3,539,39,1,1,0,0,0,0,25,1,1,0,0,0,0,0,6,25,141,28,0,0,0,247,1,0,0,0,0,0,0,1,22
19,10410,הוד השרון,9700,42,34.9077117,32.1559087,המגן 32 הוד השרון,21,0,603,474,1,473,43,1,3,0,0,0,0,12,0,0,0,0,0,0,0,1,15,71,44,0,0,0,272,0,0,0,0,0,0,0,0,11
19,10411,הוד השרון,9700,43,34.9042263,32.1604452,אסירי ציון 1 הוד השרון,1,0,739,575,0,575,49,4,2,0,0,0,1,17,0,0,0,0,0,0,0,4,22,130,31,0,0,0,304,0,0,0,0,0,0,0,0,11
19,10412,הוד השרון,9700,44,34.8843879,32.1749392,קורצ'אק יאנוש 1 הוד השרון,19,0,740,598,2,596,46,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,28,63,53,0,0,0,382,0,1,0,0,0,0,0,0,9
19,10413,הוד השרון,9700,45,34.8900157,32.1604868,משאבים 46 הוד השרון,7,0,708,548,3,545,39,0,3,0,0,0,1,14,0,0,0,0,0,0,0,1,17,69,59,0,0,0,334,0,1,0,0,0,0,0,0,7
19,10414,הוד השרון,9700,46,34.8992826,32.1762035,גורדון 9 הוד השרון,22,0,487,373,0,373,35,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,14,38,48,0,0,0,227,0,0,0,0,0,0,0,0,0
19,10415,הוד השרון,9700,47,34.8939196,32.143783,ז'בוטינסקי 4 הוד השרון,12,0,637,520,0,520,35,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,16,60,49,0,0,0,348,0,0,0,0,0,0,0,0,2
19,10416,הוד השרון,9700,49,34.9144453,32.1571556,גולומב 4 הוד השרון,4,0,713,490,1,489,24,0,1,0,0,0,0,17,0,1,0,0,0,0,0,8,24,202,19,0,1,0,138,1,1,0,0,1,1,0,0,50
19,10417,הוד השרון,9700,50,34.893009,32.1427856,טווס 1 הוד השרון,27,0,649,511,4,507,48,0,2,0,1,0,0,8,0,0,0,0,0,0,0,1,17,60,34,0,1,0,334,0,0,0,0,1,0,0,0,0
19,10418,הוד השרון,9700,51,34.9191082,32.1593278,קבוץ גלויות 8 הוד השרון,13,0,604,459,2,457,43,4,0,0,0,0,3,19,0,0,0,0,0,0,0,5,17,137,29,0,0,0,179,0,0,0,0,0,0,0,0,21
19,10419,הוד השרון,9700,52,34.8928339,32.151296,השחר 34 הוד השרון,14,0,687,458,1,457,43,5,0,1,1,0,1,18,0,0,0,0,0,0,0,3,24,109,21,0,0,0,217,0,0,0,0,0,0,0,0,14
19,10420,הוד השרון,9700,53,34.888214,32.1517108,דרך כפר הדר 33 הוד השרון,17,1,617,461,2,459,26,1,2,0,0,0,0,11,0,0,0,0,0,0,0,3,25,71,63,0,0,0,257,0,0,0,0,0,0,0,0,0
19,10421,הוד השרון,9700,54,34.8919892,32.1410566,פשוש 4 הוד השרון,23,0,643,405,4,401,12,2,1,0,0,0,1,4,0,0,0,0,0,0,0,0,93,58,22,2,1,0,204,0,0,0,0,0,0,0,0,1
19,10422,הוד השרון,9700,55,34.8843879,32.1749392,קורצ'אק יאנוש 1 הוד השרון,19,1,684,535,4,531,33,4,1,0,0,0,0,18,0,0,0,0,0,0,0,1,14,110,42,0,0,0,291,0,0,0,0,0,0,0,1,16
19,10423,הוד השרון,9700,56,34.9144453,32.1571556,גולומב 4 הוד השרון,4,0,501,367,1,366,22,3,1,0,0,0,0,11,0,1,0,0,1,0,0,5,2,88,31,0,0,0,146,0,0,0,0,0,0,0,1,54
19,10424,הוד השרון,9700,57,34.8986832,32.1595466,הדרים 12 הוד השרון,18,0,561,440,2,438,50,3,0,0,0,0,0,12,0,1,0,0,0,0,0,1,15,103,36,0,0,0,205,0,0,0,0,0,0,0,0,12
19,10425,הוד השרון,9700,58,34.9042263,32.1604452,אסירי ציון 1 הוד השרון,1,0,669,520,0,520,41,2,0,0,0,0,0,22,0,1,0,0,0,0,0,6,22,124,34,0,0,0,258,0,0,0,0,0,0,0,0,10
19,10426,הוד השרון,9700,59,34.9077117,32.1559087,המגן 32 הוד השרון,21,0,575,407,0,407,32,1,3,0,0,0,0,21,0,0,0,0,0,0,0,0,26,75,33,0,0,0,208,0,0,0,0,0,0,0,0,8
19,10427,הוד השרון,9700,60,34.875044,32.1532,סאלד הנריאטה 2 הוד השרון,26,0,604,452,0,452,28,4,0,0,0,0,2,26,0,2,0,1,0,0,0,17,20,143,23,0,0,0,165,0,0,0,0,0,0,0,0,21
19,10428,הוד השרון,9700,61,34.875044,32.1532,סאלד הנריאטה 2 הוד השרון,26,0,658,502,1,501,41,1,2,0,0,0,0,12,0,0,0,0,0,0,0,1,16,47,63,0,0,0,316,0,0,0,0,0,0,0,0,2
19,10429,הוד השרון,9700,62,34.8843879,32.1749392,קורצ'אק יאנוש 1 הוד השרון,19,0,760,662,1,661,34,1,1,0,0,0,1,18,0,0,0,0,0,0,0,3,44,81,43,0,0,0,432,0,0,0,0,0,0,0,0,3
19,10430,הוד השרון,9700,63,34.8740664,32.1372067,השומר 20 הוד השרון,10,0,713,544,0,544,42,1,0,1,0,0,2,18,0,0,0,0,0,0,0,4,24,100,50,0,0,0,293,0,0,0,0,0,0,0,0,9
19,10431,הוד השרון,9700,64,34.8984054,32.1668805,גולדה מאיר 9 הוד השרון,25,0,681,560,1,559,28,0,0,1,0,0,1,17,0,0,0,0,0,0,0,1,21,86,32,0,0,0,364,0,0,0,0,0,0,0,0,8
19,10432,הוד השרון,9700,65,34.8984054,32.1668805,גולדה מאיר 9 הוד השרון,25,0,743,639,0,639,31,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1,45,77,49,0,0,0,417,0,0,0,0,0,1,0,0,2
19,10433,הוד השרון,9700,66,34.8900157,32.1604868,משאבים 46 הוד השרון,7,0,637,492,0,492,38,3,1,0,0,0,0,9,0,0,0,0,0,0,0,3,20,75,46,0,0,0,291,0,0,0,0,0,0,0,0,6
19,10434,הוד השרון,9700,67,34.896871,32.10703,נחשון 6 הוד השרון,24,0,600,475,1,474,39,0,2,0,0,0,0,16,0,1,0,0,0,0,0,4,20,78,34,1,0,0,274,1,1,0,0,0,0,0,0,3
19,10435,הוד השרון,9700,68,34.8758454,32.1475634,יורדי הים 36 הוד השרון,9,0,642,530,2,528,36,1,0,0,0,0,2,13,0,0,0,0,0,0,0,2,13,83,32,0,0,0,343,0,0,0,0,0,0,0,0,3
19,10436,הוד השרון,9700,69,34.8984054,32.1668805,גולדה מאיר 9 הוד השרון,25,0,798,669,0,669,50,1,0,0,0,0,1,12,0,0,0,0,0,0,0,3,49,107,36,0,0,0,409,0,0,0,0,0,0,0,0,1
19,10437,הוד השרון,9700,70,34.896871,32.10703,נחשון 6 הוד השרון,24,0,711,577,2,575,22,1,0,0,0,0,1,20,0,0,0,0,0,0,0,3,21,115,30,0,0,0,358,0,0,0,0,0,0,0,0,4
17,9079,הודיה,726,1,34.639275,31.676356,הודיה,1,0,496,331,3,328,26,0,0,0,0,0,20,14,0,0,0,0,0,0,0,5,7,168,2,0,0,0,58,0,0,0,0,0,0,0,0,28
18,9842,הוואשלה (שבט),1169,1,34.979,31.092,הוואשלה (שבט),1,0,546,290,6,284,0,0,259,0,1,0,2,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,14,0,0,0,0,0,0,0,0,2
18,9843,הוואשלה (שבט),1169,2,34.979,31.092,הוואשלה (שבט),1,0,511,245,1,244,1,0,227,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,11,0,0,0,0,0,1,0,0,0
18,9844,הוזייל (שבט),956,2.1,34.761,31.415,הוזייל (שבט),1,1,551,219,2,217,20,0,161,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,22,0,0,1,0,0,1,2,0,0
18,9845,הוזייל (שבט),956,2.2,34.761,31.415,הוזייל (שבט),1,0,550,169,3,166,45,0,96,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,6,0,0,0,12,0,0,0,0,0,0,0,0,0
5,1913,הושעיה,1186,1,35.29522499999999,32.757927,הושעיה,1,0,645,507,0,507,16,1,0,0,0,0,0,289,0,0,0,0,0,0,0,5,1,93,3,1,0,0,88,0,0,0,0,0,0,0,0,10
